No,都道,自治体名等
1,広島,府中町
2,愛知,東浦町
3,茨城,阿見町
4,神奈川,寒川町
5,福岡,粕屋町
6,福岡,志免町
7,埼玉,伊奈町
8,愛知,東郷町
9,埼玉,杉戸町
10,大阪,熊取町
11,北海道,音更町
12,愛知,武豊町
13,熊本,菊陽町
14,静岡,長泉町
15,愛知,幸田町
16,群馬,大泉町
17,長崎,長与町
18,三重,菰野町
19,沖縄,南風原町
20,神奈川,愛川町
21,栃木,壬生町
22,埼玉,三芳町
23,宮城,柴田町
24,福岡,苅田町
25,福岡,宇美町
26,愛知,蟹江町
27,石川,津幡町
28,静岡,函南町
29,京都,精華町
30,群馬,玉村町
31,埼玉,毛呂山町
32,徳島,藍住町
33,熊本,大津町
34,宮城,利府町
35,沖縄,西原町
36,埼玉,宮代町
37,愛知,扶桑町
38,奈良,広陵町
39,兵庫,播磨町
40,兵庫,太子町
41,宮城,亘理町
42,福岡,新宮町
43,熊本,益城町
44,愛知,大治町
45,埼玉,寄居町
46,岩手,紫波町
47,東京,瑞穂町
48,静岡,清水町
49,神奈川,葉山町
50,神奈川,大磯町
51,茨城,茨城町
52,福岡,篠栗町
53,奈良,田原本町
54,福岡,岡垣町
55,沖縄,八重瀬町
56,大阪,島本町
57,栃木,上三川町
58,埼玉,上里町
59,兵庫,稲美町
60,兵庫,猪名川町
61,広島,海田町
62,愛媛,松前町
63,福岡,筑前町
64,長崎,時津町
65,栃木,高根沢町
66,静岡,吉田町
67,宮城,大和町
68,福岡,須恵町
69,埼玉,小川町
70,愛知,阿久比町
71,埼玉,松伏町
72,沖縄,北谷町
73,福岡,水巻町
74,岩手,矢巾町
75,大分,日出町
76,北海道,七飯町
77,奈良,斑鳩町
78,神奈川,二宮町
79,岐阜,養老町
80,香川,三木町
81,石川,内灘町
82,岐阜,垂井町
83,山梨,富士河口湖町
84,岐阜,岐南町
85,三重,東員町
86,北海道,幕別町
87,宮崎,三股町
88,群馬,邑楽町
89,佐賀,みやき町
90,和歌山,有田川町
91,長野,箕輪町
92,栃木,野木町
93,徳島,石井町
94,富山,立山町
95,愛知,大口町
96,青森,おいらせ町
97,茨城,境町
98,奈良,王寺町
99,宮城,美里町
100,栃木,那須町
101,富山,入善町
102,宮城,大河原町
103,神奈川,湯河原町
104,岐阜,池田町
105,奈良,三郷町
106,北海道,中標津町
107,広島,熊野町
108,徳島,北島町
109,香川,綾川町
110,愛知,美浜町
111,山形,高畠町
112,三重,明和町
113,香川,多度津町
114,岐阜,笠松町
115,千葉,横芝光町
116,佐賀,白石町
117,岐阜,大野町
118,宮城,加美町
119,栃木,益子町
120,群馬,吉岡町
121,奈良,上牧町
122,北海道,新ひだか町
123,福岡,福智町
124,高知,いの町
125,茨城,八千代町
126,滋賀,日野町
127,山梨,昭和町
128,滋賀,愛荘町
129,千葉,酒々井町
130,愛媛,砥部町
131,和歌山,白浜町
132,鹿児島,さつま町
133,山形,庄内町
134,千葉,栄町
135,福井,越前町
136,京都,与謝野町
137,福岡,広川町
138,宮崎,高鍋町
139,埼玉,滑川町
140,沖縄,与那原町
141,愛媛,愛南町
142,岐阜,揖斐川町
143,埼玉,川島町
144,兵庫,福崎町
145,富山,上市町
146,兵庫,多可町
147,北海道,遠軽町
148,長野,軽井沢町
149,長野,下諏訪町
150,北海道,釧路町
151,福島,会津美里町
152,佐賀,有田町
153,福井,永平寺町
154,福岡,みやこ町
155,福岡,遠賀町
156,香川,宇多津町
157,北海道,美幌町
158,石川,志賀町
159,秋田,美郷町
160,岐阜,神戸町
161,静岡,小山町
162,長野,辰野町
163,宮崎,国富町
164,神奈川,開成町
165,大阪,豊能町
166,埼玉,吉見町
167,岐阜,北方町
168,宮城,七ヶ浜町
169,茨城,城里町
170,北海道,芽室町
171,奈良,平群町
172,北海道,余市町
173,埼玉,嵐山町
174,広島,北広島町
175,山形,河北町
176,岐阜,御嵩町
177,長崎,新上五島町
178,静岡,森町
179,香川,まんのう町
180,宮崎,門川町
181,福島,矢吹町
182,佐賀,基山町
183,群馬,みなかみ町
184,福岡,築上町
185,神奈川,大井町
186,福島,三春町
187,奈良,河合町
188,東京,日の出町
189,青森,南部町
190,奈良,大淀町
191,愛知,南知多町
192,大阪,忠岡町
193,宮崎,新富町
194,石川,中能登町
195,青森,東北町
196,鳥取,琴浦町
197,佐賀,吉野ヶ里町
198,熊本,御船町
199,北海道,白老町
200,兵庫,香美町
201,鳥取,湯梨浜町
202,青森,五戸町
203,和歌山,かつらぎ町
204,京都,大山崎町
205,鳥取,八頭町
206,北海道,当別町
207,兵庫,佐用町
208,北海道,八雲町
209,茨城,大子町
210,岩手,雫石町
211,茨城,大洗町
232,大阪,河南町
213,石川,能登町
214,熊本,芦北町
215,愛知,豊山町
216,高知,四万十町
217,長野,御代田町
218,岩手,金ケ崎町
219,福岡,大刀洗町
220,宮城,涌谷町
221,群馬,中之条町
222,熊本,長洲町
223,鳥取,大山町
224,茨城,利根町
225,愛媛,内子町
226,秋田,三種町
227,京都,久御山町
228,和歌山,上富田町
229,栃木,那珂川町
230,宮崎,川南町
231,福岡,川崎町
232,北海道,倶知安町
233,広島,世羅町
234,三重,川越町
235,岩手,洋野町
236,福岡,鞍手町
237,福島,会津坂下町
238,三重,玉城町
239,栃木,芳賀町
240,和歌山,串本町
241,山口,周防大島町
242,大阪,岬町
243,山梨,市川三郷町
244,熊本,あさぎり町
245,福島,石川町
246,千葉,九十九里町
247,三重,紀北町
248,徳島,松茂町
249,青森,藤崎町
250,山形,川西町
251,青森,七戸町
252,山口,田布施町
253,福島,南会津町
254,大分,玖珠町
255,北海道,別海町
256,岐阜,安八町
257,北海道,森町
258,岩手,山田町
259,長崎,波佐見町
260,新潟,聖籠町
261,鳥取,北栄町
262,鹿児島,肝付町
263,山梨,富士川町
264,和歌山,那智勝浦町
265,長野,富士見町
266,群馬,板倉町
267,三重,多気町
268,長野,坂城町
269,福井,若狭町
270,長崎,佐々町
271,兵庫,上郡町
272,香川,小豆島町
273,秋田,羽後町
274,福岡,大木町
275,千葉,多古町
276,山形,山辺町
277,岡山,和気町
278,徳島,東みよし町
279,埼玉,鳩山町
280,福島,猪苗代町
281,福岡,芦屋町
282,沖縄,嘉手納町
283,熊本,山都町
284,青森,階上町
285,島根,隠岐の島町
286,岡山,矢掛町
287,長崎,川棚町
288,埼玉,神川町
289,福島,棚倉町
290,宮城,松島町
291,兵庫,新温泉町
292,千葉,東庄町
293,岡山,美咲町
294,徳島,板野町
295,山形,遊佐町
296,大阪,太子町
297,京都,京丹波町
298,山形,白鷹町
299,福岡,桂川町
300,香川,土庄町
301,長野,高森町
302,群馬,東吾妻町
303,青森,板柳町
304,広島,坂町
305,長野,松川町
306,沖縄,本部町
307,群馬,甘楽町
308,鹿児島,大崎町
309,青森,野辺地町
310,岡山,早島町
311,高知,佐川町
312,福島,鏡石町
313,岩手,岩手町
314,宮城,丸森町
315,宮城,南三陸町
316,福島,川俣町
317,石川,宝達志水町
318,北海道,浦河町
319,青森,鶴田町
320,岡山,鏡野町
321,宮城,山元町
322,山口,平生町
323,千葉,一宮町
324,栃木,茂木町
325,鹿児島,屋久島町
326,島根,奥出雲町
327,和歌山,みなべ町
328,滋賀,竜王町
329,北海道,岩内町
330,宮崎,高千穂町
331,岩手,一戸町
332,静岡,東伊豆町
333,福島,桑折町
334,北海道,斜里町
335,宮城,蔵王町
336,徳島,上板町
337,長野,山ノ内町
338,神奈川,箱根町
339,北海道,日高町
340,北海道,栗山町
341,栃木,市貝町
342,兵庫,市川町
343,新潟,田上町
344,和歌山,湯浅町
345,熊本,氷川町
346,富山,朝日町
347,埼玉,美里町
348,埼玉,越生町
349,三重,朝日町
350,岩手,大槌町
351,三重,南伊勢町
352,岡山,里庄町
353,埼玉,小鹿野町
354,岡山,勝央町
355,岡山,吉備中央町
356,群馬,明和町
357,群馬,千代田町
358,神奈川,松田町
359,沖縄,金武町
360,鳥取,岩美町
361,山形,中山町
362,鳥取,伯耆町
363,宮城,村田町
364,山梨,身延町
365,長野,小布施町
366,兵庫,神河町
367,長野,木曽町
368,埼玉,ときがわ町
369,青森,六戸町
370,栃木,塩谷町
371,北海道,上富良野町
372,福井,高浜町
373,鳥取,南部町
374,三重,紀宝町
375,千葉,白子町
376,長野,飯綱町
377,北海道,長沼町
378,熊本,錦町
379,高知,黒潮町
380,長野,佐久穂町
381,岐阜,八百津町
382,福岡,香春町
383,島根,邑南町
384,鹿児島,徳之島町
385,熊本,甲佐町
386,北海道,東神楽町
387,青森,平内町
388,福井,南越前町
389,新潟,阿賀町
390,宮崎,都農町
391,岐阜,川辺町
392,神奈川,山北町
393,鹿児島,長島町
394,愛媛,鬼北町
395,北海道,美瑛町
396,青森,中泊町
397,岐阜,輪之内町
398,佐賀,江北町
399,熊本,嘉島町
400,福島,小野町
401,熊本,美里町
402,長野,池田町
403,熊本,和水町
404,埼玉,皆野町
405,神奈川,中井町
406,佐賀,上峰町
407,和歌山,日高川町
408,福井,美浜町
409,鹿児島,湧水町
410,北海道,清水町
411,青森,三戸町
412,大阪,能勢町
413,熊本,多良木町
414,福岡,久山町
415,青森,鰺ヶ沢町
416,長野,飯島町
417,新潟,津南町
418,熊本,南関町
419,京都,宇治田原町
420,北海道,厚岸町
421,千葉,大多喜町
422,福岡,添田町
423,岩手,岩泉町
424,三重,大台町
425,青森,大鰐町
426,福島,国見町
427,宮崎,高原町
428,鹿児島,瀬戸内町
429,大分,九重町
430,秋田,五城目町
431,香川,琴平町
432,北海道,洞爺湖町
433,大阪,田尻町
434,岩手,軽米町
435,福岡,糸田町
436,愛媛,伊方町
437,徳島,海陽町
438,宮城,川崎町
439,北海道,東川町
440,福島,塙町
441,北海道,湧別町
442,和歌山,紀美野町
443,広島,神石高原町
444,茨城,河内町
445,奈良,川西町
446,佐賀,太良町
447,茨城,五霞町
448,山形,最上町
449,三重,御浜町
450,岐阜,坂祝町
451,埼玉,横瀬町
452,福井,おおい町
453,福島,新地町
454,石川,穴水町
455,静岡,南伊豆町
456,三重,度会町
457,三重,大紀町
458,宮城,大郷町
459,新潟,湯沢町
460,長野,信濃町
461,長崎,東彼杵町
462,和歌山,印南町
463,徳島,つるぎ町
464,和歌山,日高町
465,北海道,むかわ町
466,山形,大江町
467,山形,三川町
468,北海道,枝幸町
469,鹿児島,中種子町
470,北海道,江差町
471,岐阜,白川町
472,京都,井手町
473,愛媛,久万高原町
474,北海道,せたな町
475,徳島,那賀町
476,青森,深浦町
477,北海道,安平町
478,北海道,南幌町
479,北海道,白糠町
480,滋賀,多賀町
481,岩手,平泉町
482,福岡,上毛町
483,北海道,標茶町
484,奈良,安堵町
485,山形,真室川町
486,千葉,長南町
487,沖縄,久米島町
488,広島,大崎上島町
489,山梨,南部町
490,福岡,小竹町
491,滋賀,豊郷町
492,熊本,苓北町
493,山形,小国町
494,東京,大島町
495,静岡,西伊豆町
496,東京,八丈町
497,千葉,芝山町
498,千葉,鋸南町
499,北海道,弟子屈町
500,鹿児島,錦江町
501,宮崎,綾町
502,島根,津和野町
503,千葉,御宿町
504,静岡,河津町
505,和歌山,美浜町
506,埼玉,長瀞町
507,和歌山,広川町
508,北海道,大空町
509,千葉,睦沢町
510,奈良,高取町
511,神奈川,真鶴町
512,千葉,長柄町
513,宮城,色麻町
514,鹿児島,喜界町
515,北海道,本別町
516,山形,飯豊町
517,長野,立科町
518,岐阜,関ケ原町
519,熊本,小国町
520,秋田,八峰町
521,山形,大石田町
522,群馬,下仁田町
523,北海道,鷹栖町
524,北海道,足寄町
525,北海道,羽幌町
526,福岡,吉富町
527,愛媛,上島町
528,北海道,新十津川町
529,鹿児島,南大隅町
530,奈良,三宅町
531,宮城,女川町
532,鳥取,智頭町
533,北海道,広尾町
534,山形,朝日町
535,滋賀,甲良町
536,北海道,当麻町
537,北海道,池田町
538,佐賀,大町町
539,北海道,松前町
540,鹿児島,和泊町
541,鹿児島,東串良町
542,奈良,吉野町
543,徳島,美波町
544,静岡,川根本町
545,鹿児島,伊仙町
546,石川,川北町
547,島根,吉賀町
548,鳥取,三朝町
549,群馬,草津町
550,静岡,松崎町
551,福島,浅川町
552,山口,和木町
553,三重,木曽岬町
554,高知,中土佐町
555,北海道,士幌町
556,北海道,新得町
557,鹿児島,龍郷町
558,千葉,神崎町
559,熊本,高森町
560,北海道,共和町
561,福島,西会津町
562,鹿児島,知名町
563,広島,安芸太田町
564,岩手,葛巻町
565,岐阜,富加町
566,佐賀,玄海町
567,長野,長和町
568,秋田,八郎潟町
569,岡山,奈義町
570,鹿児島,天城町
571,北海道,浜中町
572,鹿児島,南種子町
573,北海道,大樹町
574,福島,広野町
575,青森,外ヶ浜町
576,福島,矢祭町
577,和歌山,由良町
578,北海道,新冠町
579,高知,津野町
580,北海道,鹿追町
581,福島,下郷町
582,高知,越知町
583,岩手,西和賀町
584,北海道,奈井江町
585,鹿児島,与論町
586,北海道,長万部町
587,群馬,長野原町
588,北海道,ニセコ町
589,北海道,今金町
590,山形,金山町
591,岩手,住田町
592,熊本,玉東町
593,奈良,下市町
594,北海道,標津町
595,福岡,大任町
596,山形,舟形町
597,青森,田子町
598,山形,西川町
599,宮崎,木城町
600,北海道,佐呂間町
601,徳島,勝浦町
602,高知,仁淀川町
603,宮崎,美郷町
604,福島,古殿町
605,北海道,由仁町
606,秋田,小坂町
607,北海道,上士幌町
608,北海道,平取町
609,東京,奥多摩町
610,北海道,中富良野町
611,北海道,羅臼町
612,青森,大間町
613,北海道,訓子府町
614,徳島,神山町
615,北海道,小清水町
616,島根,飯南町
617,北海道,蘭越町
618,秋田,井川町
619,岡山,久米南町
620,愛知,設楽町
621,高知,大月町
622,北海道,厚真町
623,北海道,浦幌町
624,北海道,えりも町
625,北海道,津別町
626,島根,美郷町
627,長野,小海町
628,北海道,上ノ国町
629,長野,阿南町
630,熊本,津奈木町
631,青森,横浜町
632,北海道,雄武町
633,鳥取,日南町
634,北海道,知内町
635,北海道,美深町
636,長野,上松町
637,新潟,出雲崎町
638,福島,只見町
639,北海道,様似町
640,山梨,西桂町
641,北海道,豊富町
642,沖縄,竹富町
643,長野,南木曽町
644,北海道,増毛町
645,北海道,清里町
646,和歌山,九度山町
647,北海道,木古内町
648,北海道,豊浦町
649,北海道,福島町
650,北海道,鹿部町
651,高知,土佐町
652,熊本,南小国町
653,徳島,牟岐町
654,福島,楢葉町
655,北海道,月形町
656,和歌山,すさみ町
657,愛媛,松野町
658,宮崎,日之影町
659,北海道,興部町
660,熊本,湯前町
661,北海道,厚沢部町
662,北海道,比布町
663,北海道,上川町
664,京都,和束町
665,宮崎,五ヶ瀬町
666,北海道,浜頓別町
667,北海道,乙部町
668,岐阜,七宗町
669,福島,磐梯町
670,高知,檮原町
671,高知,本山町
672,高知,大豊町
673,島根,川本町
674,北海道,和寒町
675,北海道,仁木町
676,北海道,下川町
677,香川,直島町
678,福島,柳津町
679,山口,阿武町
680,高知,奈半利町
681,北海道,豊頃町
682,北海道,小平町
683,和歌山,高野町
684,北海道,天塩町
685,愛知,東栄町
686,北海道,京極町
687,北海道,苫前町
688,北海道,剣淵町
689,北海道,沼田町
690,鳥取,日野町
691,秋田,藤里町
692,鳥取,若桜町
693,北海道,上砂川町
694,北海道,寿都町
695,北海道,黒松内町
696,和歌山,太地町
697,島根,西ノ島町
698,北海道,置戸町
699,北海道,古平町
700,北海道,壮瞥町
701,北海道,妹背牛町
702,鳥取,江府町
703,北海道,愛別町
704,北海道,遠別町
705,北海道,礼文町
706,高知,田野町
707,和歌山,古座川町
708,北海道,利尻富士町
709,福井,池田町
710,北海道,滝上町
711,北海道,奥尻町
712,北海道,雨竜町
713,北海道,南富良野町
714,北海道,幌延町
715,高知,安田町
716,山口,上関町
717,青森,今別町
718,北海道,秩父別町
719,長崎,小値賀町
720,島根,海士町
721,北海道,陸別町
722,高知,東洋町
723,北海道,喜茂別町
724,福島,富岡町
725,北海道,利尻町
726,京都,伊根町
727,福島,浪江町
728,福島,金山町
729,北海道,積丹町
730,北海道,浦臼町
731,北海道,北竜町
732,沖縄,与那国町
733,群馬,神流町
734,北海道,中頓別町
735,北海道,中川町
736,福島,三島町
737,徳島,上勝町
738,北海道,幌加内町
739,宮城,七ヶ宿町
740,京都,笠置町
741,山梨,早川町
742,福島,大熊町
743,福島,双葉町
