No,都道,自治体名等,フリガナ
1,広島,府中町,フチュウチョウ
2,愛知,東浦町,ヒガシウラチョウ
3,茨城,阿見町,アミマチ
4,神奈川,寒川町,サムカワマチ
5,福岡,粕屋町,カスヤマチ
6,福岡,志免町,シメマチ
7,埼玉,伊奈町,イナマチ
8,愛知,東郷町,トウゴウチョウ
9,埼玉,杉戸町,スギトマチ
10,大阪,熊取町,クマトリチョウ
11,北海道,音更町,オトフケチョウ
12,愛知,武豊町,タケトヨチョウ
13,熊本,菊陽町,キクヨウマチ
14,静岡,長泉町,ナガイズミチョウ
15,愛知,幸田町,コウタチョウ
16,群馬,大泉町,オオイズミマチ
17,長崎,長与町,ナガヨチョウ
18,三重,菰野町,コモノチョウ
19,沖縄,南風原町,ハエバルチョウ
20,神奈川,愛川町,アイカワマチ
21,栃木,壬生町,ミブマチ
22,埼玉,三芳町,ミヨシマチ
23,宮城,柴田町,シバタマチ
24,福岡,苅田町,カンダマチ
25,福岡,宇美町,ウミマチ
26,愛知,蟹江町,カニエチョウ
27,石川,津幡町,ツバタマチ
28,静岡,函南町,カンナミチョウ
29,京都,精華町,セイカチョウ
30,群馬,玉村町,タマムラマチ
31,埼玉,毛呂山町,モロヤママチ
32,徳島,藍住町,アイズミチョウ
33,熊本,大津町,オオヅマチ
34,宮城,利府町,リフチョウ
35,沖縄,西原町,ニシハラチョウ
36,埼玉,宮代町,ミヤシロマチ
37,愛知,扶桑町,フソウチョウ
38,奈良,広陵町,コウリョウチョウ
39,兵庫,播磨町,ハリマチョウ
40,兵庫,太子町,タイシチョウ
41,宮城,亘理町,ワタリチョウ
42,福岡,新宮町,シングウマチ
43,熊本,益城町,マシキマチ
44,愛知,大治町,オオハルチョウ
45,埼玉,寄居町,ヨリイマチ
46,岩手,紫波町,シワチョウ
47,東京,瑞穂町,ミズホマチ
48,静岡,清水町,シミズチョウ
49,神奈川,葉山町,ハヤママチ
50,神奈川,大磯町,オオイソマチ
51,茨城,茨城町,イバラキマチ
52,福岡,篠栗町,ササグリマチ
53,奈良,田原本町,タワラモトチョウ
54,福岡,岡垣町,オカガキマチ
55,沖縄,八重瀬町,ヤエセチョウ
56,大阪,島本町,シマモトチョウ
57,栃木,上三川町,カミノカワマチ
58,埼玉,上里町,カミサトマチ
59,兵庫,稲美町,イナミチョウ
60,兵庫,猪名川町,イナガワチョウ
61,広島,海田町,カイタチョウ
62,愛媛,松前町,マサキチョウ
63,福岡,筑前町,チクゼンマチ
64,長崎,時津町,トギツチョウ
65,栃木,高根沢町,タカネザワマチ
66,静岡,吉田町,ヨシダチョウ
67,宮城,大和町,タイワチョウ
68,福岡,須恵町,スエマチ
69,埼玉,小川町,オガワマチ
70,愛知,阿久比町,アグイチョウ
71,埼玉,松伏町,マツブシマチ
72,沖縄,北谷町,チャタンチョウ
73,福岡,水巻町,ミズマキマチ
74,岩手,矢巾町,ヤハバチョウ
75,大分,日出町,ヒジマチ
76,北海道,七飯町,ナナエチョウ
77,奈良,斑鳩町,イカルガチョウ
78,神奈川,二宮町,ニノミヤマチ
79,岐阜,養老町,ヨウロウチョウ
80,香川,三木町,ミキチョウ
