No,都道,自治体名等,ふりがな
1,広島,府中町,ふちゅうまち
2,愛知,東浦町,ひがしうらまち
3,茨城,阿見町,あみまち
4,神奈川,寒川町,さむかわまち
5,福岡,粕屋町,かすやまち
6,福岡,志免町,しめまち
7,埼玉,伊奈町,いなまち
8,愛知,東郷町,とうごうまち
9,埼玉,杉戸町,すぎとまち
10,大阪,熊取町,くまとりまち
11,北海道,音更町,おとふけまち
12,愛知,武豊町,たけとよまち
13,熊本,菊陽町,きくようまち
14,静岡,長泉町,ながいずみまち
15,愛知,幸田町,こうだまち
16,群馬,大泉町,おおいずみちょう
17,長崎,長与町,ながよまち
18,三重,菰野町,こものまち
19,沖縄,南風原町,はえばるまち
20,神奈川,愛川町,あいかわまち
21,栃木,壬生町,みぶまち
22,埼玉,三芳町,みよしまち
23,宮城,柴田町,しばたまち
24,福岡,苅田町,かんだまち
25,福岡,宇美町,うみまち
26,愛知,蟹江町,かにえまち
27,石川,津幡町,つばたまち
28,静岡,函南町,かんなみまち
29,京都,精華町,せいかまち
30,群馬,玉村町,たまむらまち
31,埼玉,毛呂山町,もろやままち
32,徳島,藍住町,あいずみまち
33,熊本,大津町,おおつまち
34,宮城,利府町,りふまち
35,沖縄,西原町,にしはらまち
36,埼玉,宮代町,みやしろまち
37,愛知,扶桑町,ふそうちょう
38,奈良,広陵町,こうりょうまち
39,兵庫,播磨町,はりままち
40,兵庫,太子町,たいしまち
41,宮城,亘理町,わたりまち
42,福岡,新宮町,しんぐうまち
43,熊本,益城町,ましきまち
44,愛知,大治町,おおはるまち
45,埼玉,寄居町,よりいまち
46,岩手,紫波町,しわまち
47,東京,瑞穂町,みずほまち
48,静岡,清水町,しみずまち
49,神奈川,葉山町,はやままち
50,神奈川,大磯町,おおいそまち
51,茨城,茨城町,いばらきまち
52,福岡,篠栗町,ささぐりまち
53,奈良,田原本町,たわらもとまち
54,福岡,岡垣町,おかがきまち
55,沖縄,八重瀬町,やえせまち
56,大阪,島本町,しまもとまち
57,栃木,上三川町,かみのかわまち
58,埼玉,上里町,かみさとまち
59,兵庫,稲美町,いなみまち
60,兵庫,猪名川町,いながわまち
61,広島,海田町,かいたまち
62,愛媛,松前町,まさきまち
63,福岡,筑前町,ちくぜんまち
64,長崎,時津町,とぎつまち
65,栃木,高根沢町,たかねざわまち
66,静岡,吉田町,よしだまち
67,宮城,大和町,やまとまち
68,福岡,須恵町,すえまち
69,埼玉,小川町,おがわまち
70,愛知,阿久比町,あぐいまち
71,埼玉,松伏町,まつぶしまち
72,沖縄,北谷町,ちゃたんまち
73,福岡,水巻町,みずまきまち
74,岩手,矢巾町,やはばまち
75,大分,日出町,ひじまち
76,北海道,七飯町,ななえまち
77,奈良,斑鳩町,いかるがまち
78,神奈川,二宮町,にのみやまち
79,岐阜,養老町,ようろうまち
80,香川,三木町,みきまち
81,石川,内灘町,うちなだまち
82,岐阜,垂井町,たるいまち
83,山梨,富士河口湖町,ふじかわぐちこまち
84,岐阜,岐南町,ぎなんまち
85,三重,東員町,とういんまち
86,北海道,幕別町,まくべつまち
87,宮崎,三股町,みまたまち
88,群馬,邑楽町,おうらまち
89,佐賀,みやき町,みやきまち
90,和歌山,有田川町,ありだがわまち
91,長野,箕輪町,みのわまち
92,栃木,野木町,のぎまち
93,徳島,石井町,いしいまち
94,富山,立山町,たてやままち
95,愛知,大口町,おおぐちまち
96,青森,おいらせ町,おいらせまち
97,茨城,境町,さかいまち
98,奈良,王寺町,おうじまち
99,宮城,美里町,みさとまち
100,栃木,那須町,なすまち
101,富山,入善町,にゅうぜんまち
102,宮城,大河原町,おおがわらまち
103,神奈川,湯河原町,ゆがわらまち
104,岐阜,池田町,いけだまち
105,奈良,三郷町,みさとまち
106,北海道,中標津町,なかしべつまち
107,広島,熊野町,くまのまち
108,徳島,北島町,きたじまちょう
109,香川,綾川町,あやがわまち
110,愛知,美浜町,みはままち
111,山形,高畠町,たかはたまち
112,三重,明和町,めいわまち
113,香川,多度津町,たどつまち
114,岐阜,笠松町,かさまつまち
115,千葉,横芝光町,よこしばひかりまち
116,佐賀,白石町,しらいしまち
117,岐阜,大野町,おおのまち
118,宮城,加美町,かみまち
119,栃木,益子町,ましこまち
120,群馬,吉岡町,よしおかまち
121,奈良,上牧町,かんまきまち
122,北海道,新ひだか町,しんひだかまち
123,福岡,福智町,ふくちまち
124,高知,いの町,いのまち
125,茨城,八千代町,はっせんだいちょう
126,滋賀,日野町,ひのまち
127,山梨,昭和町,しょうわまち
128,滋賀,愛荘町,あいしょうまち
129,千葉,酒々井町,しすいまち
130,愛媛,砥部町,とべまち
131,和歌山,白浜町,しらはままち
132,鹿児島,さつま町,さつままち
133,山形,庄内町,しょうないまち
134,千葉,栄町,さかえちょう
135,福井,越前町,えちぜんまち
136,京都,与謝野町,よさのまち
137,福岡,広川町,ひろかわまち
138,宮崎,高鍋町,たかなべまち
139,埼玉,滑川町,なめがわまち
140,沖縄,与那原町,よなばるまち
141,愛媛,愛南町,あいなんまち
142,岐阜,揖斐川町,いびかわまち
143,埼玉,川島町,かわしままち
144,兵庫,福崎町,ふくさきまち
145,富山,上市町,かみいちまち
146,兵庫,多可町,たかまち
147,北海道,遠軽町,えんがるまち
148,長野,軽井沢町,かるいざわまち
149,長野,下諏訪町,しもすわまち
150,北海道,釧路町,くしろまち
151,福島,会津美里町,あいづみさとまち
152,佐賀,有田町,ありたまち
153,福井,永平寺町,えいへいじまち
154,福岡,みやこ町,みやこまち
155,福岡,遠賀町,おんがまち
156,香川,宇多津町,うたづまち
157,北海道,美幌町,びほろまち
158,石川,志賀町,しがまち
159,秋田,美郷町,みさとまち
160,岐阜,神戸町,こうべまち
161,静岡,小山町,おやままち
162,長野,辰野町,たつのまち
163,宮崎,国富町,くにとみまち
164,神奈川,開成町,かいせいまち
165,大阪,豊能町,とよのまち
166,埼玉,吉見町,よしみまち
167,岐阜,北方町,きたがたまち
168,宮城,七ヶ浜町,しちがはままち
169,茨城,城里町,しろさとまち
170,北海道,芽室町,めむろまち
171,奈良,平群町,へぐりまち
172,北海道,余市町,よいちまち
173,埼玉,嵐山町,あらしやままち
174,広島,北広島町,きたひろしままち
175,山形,河北町,かほくまち
176,岐阜,御嵩町,みたけまち
177,長崎,新上五島町,しんかみごとうまち
178,静岡,森町,もりまち
179,香川,まんのう町,まんのうまち
180,宮崎,門川町,かどがわまち
181,福島,矢吹町,やぶきまち
182,佐賀,基山町,きやままち
183,群馬,みなかみ町,みなかみまち
184,福岡,築上町,ちくじょうまち
185,神奈川,大井町,おおいまち
186,福島,三春町,みはるまち
187,奈良,河合町,かわいまち
188,東京,日の出町,ひのでまち
189,青森,南部町,なんぶちょう
190,奈良,大淀町,おおよどまち
191,愛知,南知多町,みなみちたまち
192,大阪,忠岡町,ただおかまち
193,宮崎,新富町,しんとみまち
194,石川,中能登町,なかのとまち
195,青森,東北町,とうほくまち
196,鳥取,琴浦町,ことうらまち
197,佐賀,吉野ヶ里町,よしのがりまち
198,熊本,御船町,みふねまち
199,北海道,白老町,しらおいまち
200,兵庫,香美町,かみまち
201,鳥取,湯梨浜町,ゆりはままち
202,青森,五戸町,ごこちょう
203,和歌山,かつらぎ町,かつらぎまち
204,京都,大山崎町,おおやまざきまち
205,鳥取,八頭町,やがしらまち
206,北海道,当別町,とうべつまち
207,兵庫,佐用町,さようまち
208,北海道,八雲町,やくもまち
209,茨城,大子町,だいごまち
210,岩手,雫石町,しずくいしまち
211,茨城,大洗町,おおあらいまち
232,大阪,河南町,かなんまち
213,石川,能登町,のとまち
214,熊本,芦北町,あしきたまち
215,愛知,豊山町,とよやままち
216,高知,四万十町,よんまんじゅうちょう
217,長野,御代田町,みよたまち
218,岩手,金ケ崎町,かねがさきまち
219,福岡,大刀洗町,たちあらいまち
220,宮城,涌谷町,わくやまち
221,群馬,中之条町,なかのじょうまち
222,熊本,長洲町,ながすまち
223,鳥取,大山町,だいせんまち
224,茨城,利根町,とねまち
225,愛媛,内子町,うちこまち
226,秋田,三種町,さんしゅちょう
227,京都,久御山町,くみやままち
228,和歌山,上富田町,かみとんだまち
229,栃木,那珂川町,なかがわまち
230,宮崎,川南町,かわみなみまち
231,福岡,川崎町,かわさきまち
232,北海道,倶知安町,くっちゃんまち
233,広島,世羅町,せらまち
234,三重,川越町,かわごえまち
235,岩手,洋野町,ひろのまち
236,福岡,鞍手町,くらてまち
237,福島,会津坂下町,あいづばんげまち
238,三重,玉城町,たまきまち
239,栃木,芳賀町,はがまち
240,和歌山,串本町,くしもとまち
241,山口,周防大島町,すおうおおしままち
242,大阪,岬町,みさきちょう
243,山梨,市川三郷町,いちかわみさとまち
244,熊本,あさぎり町,あさぎりまち
245,福島,石川町,いしかわちょう
246,千葉,九十九里町,くじゅうくりまち
247,三重,紀北町,きほくまち
248,徳島,松茂町,まつしげまち
249,青森,藤崎町,ふじさきまち
250,山形,川西町,かわにしまち
251,青森,七戸町,ななこちょう
252,山口,田布施町,たぶせまち
253,福島,南会津町,みなみあいづまち
254,大分,玖珠町,くすまち
255,北海道,別海町,べっかいまち
256,岐阜,安八町,あんぱちまち
257,北海道,森町,もりまち
258,岩手,山田町,やまだちょう
259,長崎,波佐見町,はさみまち
260,新潟,聖籠町,せいろうまち
261,鳥取,北栄町,ほくえいまち
262,鹿児島,肝付町,きもつきまち
263,山梨,富士川町,ふじかわまち
264,和歌山,那智勝浦町,なちかつうらまち
265,長野,富士見町,ふじみちょう
266,群馬,板倉町,いたくらまち
267,三重,多気町,たきまち
268,長野,坂城町,さかきまち
269,福井,若狭町,わかさまち
270,長崎,佐々町,さざまち
271,兵庫,上郡町,かみごおりまち
272,香川,小豆島町,しょうどしままち
273,秋田,羽後町,うごまち
274,福岡,大木町,たいぼくちょう
275,千葉,多古町,たこまち
276,山形,山辺町,やまべまち
277,岡山,和気町,わけまち
278,徳島,東みよし町,ひがしみよしまち
279,埼玉,鳩山町,はとやままち
280,福島,猪苗代町,いなわしろまち
281,福岡,芦屋町,あしやまち
282,沖縄,嘉手納町,かでなまち
283,熊本,山都町,やまとまち
284,青森,階上町,かいじょうちょう
285,島根,隠岐の島町,おきのしままち
286,岡山,矢掛町,やかげまち
287,長崎,川棚町,かわたなまち
288,埼玉,神川町,かみかわまち
289,福島,棚倉町,たなぐらまち
290,宮城,松島町,まつしままち
