団体コード,フリガナ,都道,自治体名等
01101,ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ,北海道,札幌市中央区
01102,ｻｯﾎﾟﾛｼｷﾀｸ,北海道,札幌市北区
01103,ｻｯﾎﾟﾛｼﾋｶﾞｼｸ,北海道,札幌市東区
01104,ｻｯﾎﾟﾛｼｼﾛｲｼｸ,北海道,札幌市白石区
01105,ｻｯﾎﾟﾛｼﾄﾖﾋﾗｸ,北海道,札幌市豊平区
01106,ｻｯﾎﾟﾛｼﾐﾅﾐｸ,北海道,札幌市南区
01107,ｻｯﾎﾟﾛｼﾆｼｸ,北海道,札幌市西区
01108,ｻｯﾎﾟﾛｼｱﾂﾍﾞﾂｸ,北海道,札幌市厚別区
01109,ｻｯﾎﾟﾛｼﾃｲﾈｸ,北海道,札幌市手稲区
01110,ｻｯﾎﾟﾛｼｷﾖﾀｸ,北海道,札幌市清田区
01202,ﾊｺﾀﾞﾃｼ,北海道,函館市
01203,ｵﾀﾙｼ,北海道,小樽市
01204,ｱｻﾋｶﾜｼ,北海道,旭川市
01205,ﾑﾛﾗﾝｼ,北海道,室蘭市
01206,ｸｼﾛｼ,北海道,釧路市
01207,ｵﾋﾞﾋﾛｼ,北海道,帯広市
01208,ｷﾀﾐｼ,北海道,北見市
01209,ﾕｳﾊﾞﾘｼ,北海道,夕張市
01210,ｲﾜﾐｻﾞﾜｼ,北海道,岩見沢市
01211,ｱﾊﾞｼﾘｼ,北海道,網走市
01212,ﾙﾓｲｼ,北海道,留萌市
01213,ﾄﾏｺﾏｲｼ,北海道,苫小牧市
01214,ﾜｯｶﾅｲｼ,北海道,稚内市
01215,ﾋﾞﾊﾞｲｼ,北海道,美唄市
01216,ｱｼﾍﾞﾂｼ,北海道,芦別市
01217,ｴﾍﾞﾂｼ,北海道,江別市
01218,ｱｶﾋﾞﾗｼ,北海道,赤平市
01219,ﾓﾝﾍﾞﾂｼ,北海道,紋別市
01220,ｼﾍﾞﾂｼ,北海道,士別市
01221,ﾅﾖﾛｼ,北海道,名寄市
01222,ﾐｶｻｼ,北海道,三笠市
01223,ﾈﾑﾛｼ,北海道,根室市
01224,ﾁﾄｾｼ,北海道,千歳市
01225,ﾀｷｶﾜｼ,北海道,滝川市
01226,ｽﾅｶﾞﾜｼ,北海道,砂川市
01227,ｳﾀｼﾅｲｼ,北海道,歌志内市
01228,ﾌｶｶﾞﾜｼ,北海道,深川市
01229,ﾌﾗﾉｼ,北海道,富良野市
01230,ﾉﾎﾞﾘﾍﾞﾂｼ,北海道,登別市
01231,ｴﾆﾜｼ,北海道,恵庭市
01233,ﾀﾞﾃｼ,北海道,伊達市
01234,ｷﾀﾋﾛｼﾏｼ,北海道,北広島市
01235,ｲｼｶﾘｼ,北海道,石狩市
01236,ﾎｸﾄｼ,北海道,北斗市
01303,ｲｼｶﾘｸﾞﾝﾄｳﾍﾞﾂﾁｮｳ,北海道,石狩郡当別町
01304,ｲｼｶﾘｸﾞﾝｼﾝｼﾉﾂﾑﾗ,北海道,石狩郡新篠津村
01331,ﾏﾂﾏｴｸﾞﾝﾏﾂﾏｴﾁｮｳ,北海道,松前郡松前町
01332,ﾏﾂﾏｴｸﾞﾝﾌｸｼﾏﾁｮｳ,北海道,松前郡福島町
01333,ｶﾐｲｿｸﾞﾝｼﾘｳﾁﾁｮｳ,北海道,上磯郡知内町
01334,ｶﾐｲｿｸﾞﾝｷｺﾅｲﾁｮｳ,北海道,上磯郡木古内町
01337,ｶﾒﾀﾞｸﾞﾝﾅﾅｴﾁｮｳ,北海道,亀田郡七飯町
01343,ｶﾔﾍﾞｸﾞﾝｼｶﾍﾞﾁｮｳ,北海道,茅部郡鹿部町
01345,ｶﾔﾍﾞｸﾞﾝﾓﾘﾏﾁ,北海道,茅部郡森町
01346,ﾌﾀﾐｸﾞﾝﾔｸﾓﾁｮｳ,北海道,二海郡八雲町
01347,ﾔﾏｺｼｸﾞﾝｵｼｬﾏﾝﾍﾞﾁｮｳ,北海道,山越郡長万部町
01361,ﾋﾔﾏｸﾞﾝｴｻｼﾁｮｳ,北海道,檜山郡江差町
01362,ﾋﾔﾏｸﾞﾝｶﾐﾉｸﾆﾁｮｳ,北海道,檜山郡上ノ国町
01363,ﾋﾔﾏｸﾞﾝｱｯｻﾌﾞﾁｮｳ,北海道,檜山郡厚沢部町
01364,ﾆｼｸﾞﾝｵﾄﾍﾞﾁｮｳ,北海道,爾志郡乙部町
01367,ｵｸｼﾘｸﾞﾝｵｸｼﾘﾁｮｳ,北海道,奥尻郡奥尻町
01370,ｾﾀﾅｸﾞﾝｲﾏｶﾈﾁｮｳ,北海道,瀬棚郡今金町
01371,ｸﾄﾞｳｸﾞﾝｾﾀﾅﾁｮｳ,北海道,久遠郡せたな町
01391,ｼﾏﾏｷｸﾞﾝｼﾏﾏｷﾑﾗ,北海道,島牧郡島牧村
01392,ｽｯﾂｸﾞﾝｽｯﾂﾁｮｳ,北海道,寿都郡寿都町
01393,ｽｯﾂｸﾞﾝｸﾛﾏﾂﾅｲﾁｮｳ,北海道,寿都郡黒松内町
01394,ｲｿﾔｸﾞﾝﾗﾝｺｼﾁｮｳ,北海道,磯谷郡蘭越町
01395,ｱﾌﾞﾀｸﾞﾝﾆｾｺﾁｮｳ,北海道,虻田郡ニセコ町
01396,ｱﾌﾞﾀｸﾞﾝﾏｯｶﾘﾑﾗ,北海道,虻田郡真狩村
01397,ｱﾌﾞﾀｸﾞﾝﾙｽﾂﾑﾗ,北海道,虻田郡留寿都村
01398,ｱﾌﾞﾀｸﾞﾝｷﾓﾍﾞﾂﾁｮｳ,北海道,虻田郡喜茂別町
01399,ｱﾌﾞﾀｸﾞﾝｷｮｳｺﾞｸﾁｮｳ,北海道,虻田郡京極町
01400,ｱﾌﾞﾀｸﾞﾝｸｯﾁｬﾝﾁｮｳ,北海道,虻田郡倶知安町
01401,ｲﾜﾅｲｸﾞﾝｷｮｳﾜﾁｮｳ,北海道,岩内郡共和町
01402,ｲﾜﾅｲｸﾞﾝｲﾜﾅｲﾁｮｳ,北海道,岩内郡岩内町
01403,ﾌﾙｳｸﾞﾝﾄﾏﾘﾑﾗ,北海道,古宇郡泊村
01404,ﾌﾙｳｸﾞﾝｶﾓｴﾅｲﾑﾗ,北海道,古宇郡神恵内村
01405,ｼｬｺﾀﾝｸﾞﾝｼｬｺﾀﾝﾁｮｳ,北海道,積丹郡積丹町
01406,ﾌﾙﾋﾞﾗｸﾞﾝﾌﾙﾋﾞﾗﾁｮｳ,北海道,古平郡古平町
01407,ﾖｲﾁｸﾞﾝﾆｷﾁｮｳ,北海道,余市郡仁木町
01408,ﾖｲﾁｸﾞﾝﾖｲﾁﾁｮｳ,北海道,余市郡余市町
01409,ﾖｲﾁｸﾞﾝｱｶｲｶﾞﾜﾑﾗ,北海道,余市郡赤井川村
01423,ｿﾗﾁｸﾞﾝﾅﾝﾎﾟﾛﾁｮｳ,北海道,空知郡南幌町
01424,ｿﾗﾁｸﾞﾝﾅｲｴﾁｮｳ,北海道,空知郡奈井江町
01425,ｿﾗﾁｸﾞﾝｶﾐｽﾅｶﾞﾜﾁｮｳ,北海道,空知郡上砂川町
01427,ﾕｳﾊﾞﾘｸﾞﾝﾕﾆﾁｮｳ,北海道,夕張郡由仁町
01428,ﾕｳﾊﾞﾘｸﾞﾝﾅｶﾞﾇﾏﾁｮｳ,北海道,夕張郡長沼町
01429,ﾕｳﾊﾞﾘｸﾞﾝｸﾘﾔﾏﾁｮｳ,北海道,夕張郡栗山町
01430,ｶﾊﾞﾄｸﾞﾝﾂｷｶﾞﾀﾁｮｳ,北海道,樺戸郡月形町
01431,ｶﾊﾞﾄｸﾞﾝｳﾗｳｽﾁｮｳ,北海道,樺戸郡浦臼町
01432,ｶﾊﾞﾄｸﾞﾝｼﾝﾄﾂｶﾜﾁｮｳ,北海道,樺戸郡新十津川町
01433,ｳﾘｭｳｸﾞﾝﾓｾｳｼﾁｮｳ,北海道,雨竜郡妹背牛町
01434,ｳﾘｭｳｸﾞﾝﾁｯﾌﾟﾍﾞﾂﾁｮｳ,北海道,雨竜郡秩父別町
01436,ｳﾘｭｳｸﾞﾝｳﾘｭｳﾁｮｳ,北海道,雨竜郡雨竜町
01437,ｳﾘｭｳｸﾞﾝﾎｸﾘｭｳﾁｮｳ,北海道,雨竜郡北竜町
01438,ｳﾘｭｳｸﾞﾝﾇﾏﾀﾁｮｳ,北海道,雨竜郡沼田町
01452,ｶﾐｶﾜｸﾞﾝﾀｶｽﾁｮｳ,北海道,上川郡鷹栖町
01453,ｶﾐｶﾜｸﾞﾝﾋｶﾞｼｶｸﾞﾗﾁｮｳ,北海道,上川郡東神楽町
01454,ｶﾐｶﾜｸﾞﾝﾄｳﾏﾁｮｳ,北海道,上川郡当麻町
01455,ｶﾐｶﾜｸﾞﾝﾋﾟｯﾌﾟﾁｮｳ,北海道,上川郡比布町
01456,ｶﾐｶﾜｸﾞﾝｱｲﾍﾞﾂﾁｮｳ,北海道,上川郡愛別町
01457,ｶﾐｶﾜｸﾞﾝｶﾐｶﾜﾁｮｳ,北海道,上川郡上川町
01458,ｶﾐｶﾜｸﾞﾝﾋｶﾞｼｶﾜﾁｮｳ,北海道,上川郡東川町
01459,ｶﾐｶﾜｸﾞﾝﾋﾞｴｲﾁｮｳ,北海道,上川郡美瑛町
01460,ｿﾗﾁｸﾞﾝｶﾐﾌﾗﾉﾁｮｳ,北海道,空知郡上富良野町
01461,ｿﾗﾁｸﾞﾝﾅｶﾌﾗﾉﾁｮｳ,北海道,空知郡中富良野町
01462,ｿﾗﾁｸﾞﾝﾐﾅﾐﾌﾗﾉﾁｮｳ,北海道,空知郡南富良野町
01463,ﾕｳﾌﾂｸﾞﾝｼﾑｶｯﾌﾟﾑﾗ,北海道,勇払郡占冠村
01464,ｶﾐｶﾜｸﾞﾝﾜｯｻﾑﾁｮｳ,北海道,上川郡和寒町
