No,都道,自治体名等
1,沖縄,読谷村
2,茨城,東海村
3,沖縄,中城村
4,福島,西郷村
5,沖縄,北中城村
6,長野,南箕輪村
7,茨城,美浦村
8,群馬,榛東村
9,千葉,長生村
10,沖縄,恩納村
11,青森,六ヶ所村
12,熊本,南阿蘇村
13,長野,松川村
14,山梨,忍野村
15,福島,大玉村
16,沖縄,今帰仁村
17,群馬,嬬恋村
18,長野,白馬村
19,長野,宮田村
20,長野,山形村
21,新潟,弥彦村
22,長野,原村
23,青森,田舎館村
24,群馬,昭和村
25,長野,高山村
26,長野,豊丘村
27,熊本,西原村
28,福島,玉川村
29,福島,泉崎村
30,長野,阿智村
31,長野,喬木村
32,青森,東通村
33,宮城,大衡村
34,沖縄,宜野座村
35,福島,平田村
36,岩手,九戸村
37,福島,天栄村
38,山梨,山中湖村
39,奈良,明日香村
40,新潟,関川村
41,大阪,千早赤阪村
42,福島,中島村
43,高知,日高村
44,長野,中川村
45,愛知,飛島村
46,沖縄,国頭村
47,新潟,刈羽村
48,長野,木島平村
49,長野,川上村
50,長野,朝日村
51,山形,戸沢村
52,長野,筑北村
53,長野,青木村
54,沖縄,伊江村
55,熊本,相良村
56,群馬,片品村
57,岩手,野田村
58,山形,鮭川村
59,北海道,中札内村
60,高知,芸西村
61,長野,下條村
62,群馬,高山村
63,鳥取,日吉津村
64,群馬,川場村
65,長野,大桑村
66,長野,野沢温泉村
67,長野,南牧村
68,熊本,山江村
69,奈良,山添村
70,富山,舟橋村
71,沖縄,大宜味村
72,福島,湯川村
73,北海道,更別村
74,奈良,十津川村
75,岩手,田野畑村
76,福島,鮫川村
77,北海道,新篠津村
78,神奈川,清川村
79,山形,大蔵村
80,秋田,大潟村
81,東京,小笠原村
82,山梨,鳴沢村
83,福岡,赤村
84,埼玉,東秩父村
95,秋田,東成瀬村
86,長野,木祖村
87,長野,小谷村
88,北海道,猿払村
89,長野,麻績村
90,北海道,鶴居村
91,福島,北塩原村
92,青森,蓬田村
93,宮崎,椎葉村
94,岩手,普代村
95,東京,新島村
96,熊本,球磨村
97,京都,南山城村
98,東京,三宅村
99,長野,小川村
100,青森,新郷村
101,秋田,上小阿仁村
102,徳島,佐那河内村
103,北海道,真狩村
104,福島,川内村
105,熊本,水上村
106,岐阜,東白川村
107,東京,檜原村
108,北海道,留寿都村
109,福岡,東峰村
110,東京,神津島村
111,青森,佐井村
112,大分,姫島村
113,長野,栄村
114,長野,生坂村
115,青森,風間浦村
116,鹿児島,宇検村
117,群馬,南牧村
118,山梨,道志村
119,沖縄,東村
120,北海道,泊村
121,長野,泰阜村
122,岐阜,白川村
123,奈良,東吉野村
124,宮崎,諸塚村
125,奈良,御杖村
126,高知,三原村
127,岡山,西粟倉村
128,熊本,産山村
129,鹿児島,大和村
130,北海道,島牧村
131,沖縄,伊是名村
132,福島,飯舘村
133,北海道,占冠村
134,奈良,曽爾村
135,沖縄,南大東村
136,青森,西目屋村
137,福島,昭和村
138,長野,天龍村
139,奈良,天川村
140,北海道,赤井川村
141,奈良,川上村
142,高知,北川村
143,群馬,上野村
144,沖縄,伊平屋村
145,北海道,初山別村
146,沖縄,多良間村
147,北海道,西興部村
148,長野,大鹿村
149,愛知,豊根村
150,宮崎,西米良村
151,長野,南相木村
152,熊本,五木村
153,沖縄,座間味村
154,北海道,神恵内村
155,長野,根羽村
156,岡山,新庄村
157,奈良,下北山村
158,長野,北相木村
159,高知,馬路村
160,鹿児島,十島村
161,沖縄,渡嘉敷村
162,長野,王滝村
163,北海道,音威子村
164,山梨,小菅村
165,沖縄,粟国村
166,島根,知夫村
167,奈良,黒滝村
168,沖縄,北大東村
169,長野,売木村
170,山梨,丹波山村
171,福島,檜枝岐村
172,奈良,上北山村
173,福島,葛尾村
174,鹿児島,三島村
175,和歌山,北山村
176,長野,平谷村
177,高知,大川村
178,奈良,野迫川村
179,新潟,粟島浦村
180,沖縄,渡名喜村
181,東京,利島村
182,東京,御蔵島村
183,東京,青ヶ島村
