No,都道,自治体名等,フリガナ
1,沖縄,読谷村,ヨミタンソン
2,茨城,東海村,トウカイムラ
3,沖縄,中城村,ナカグスクソン
4,福島,西郷村,ニシゴウムラ
5,沖縄,北中城村,キタナカグスクソン
6,長野,南箕輪村,ミナミミノワムラ
7,茨城,美浦村,ミホムラ
8,群馬,榛東村,シントウムラ
9,千葉,長生村,チョウセイムラ
10,沖縄,恩納村,オンナソン
11,青森,六ヶ所村,ロッカショムラ
12,熊本,南阿蘇村,ミナミアソムラ
13,長野,松川村,マツカワムラ
14,山梨,忍野村,オシノムラ
15,福島,大玉村,オオタマムラ
16,沖縄,今帰仁村,ナキジンソン
17,群馬,嬬恋村,ツマゴイムラ
18,長野,白馬村,ハクバムラ
19,長野,宮田村,ミヤダムラ
20,長野,山形村,ヤマガタムラ
21,新潟,弥彦村,ヤヒコムラ
22,長野,原村,ハラムラ
23,青森,田舎館村,イナカダテムラ
24,群馬,昭和村,ショウワムラ
25,長野,高山村,タカヤマムラ
26,長野,豊丘村,トヨオカムラ
27,熊本,西原村,ニシハラムラ
28,福島,玉川村,タマカワムラ
29,福島,泉崎村,イズミザキムラ
30,長野,阿智村,アチムラ
31,長野,喬木村,タカギムラ
32,青森,東通村,ヒガシドオリムラ
33,宮城,大衡村,オオヒラムラ
34,沖縄,宜野座村,ギノザソン
35,福島,平田村,ヒラタムラ
36,岩手,九戸村,クノヘムラ
37,福島,天栄村,テンエイムラ
38,山梨,山中湖村,ヤマナカコムラ
39,奈良,明日香村,アスカムラ
40,新潟,関川村,セキカワムラ
41,大阪,千早赤阪村,チハヤアカサカムラ
42,福島,中島村,ナカジマムラ
43,高知,日高村,ヒダカムラ
44,長野,中川村,ナカガワムラ
45,愛知,飛島村,トビシマムラ
46,沖縄,国頭村,クニガミソン
47,新潟,刈羽村,カリワムラ
48,長野,木島平村,キジマダイラムラ
49,長野,川上村,カワカミムラ
50,長野,朝日村,アサヒムラ
51,山形,戸沢村,トザワムラ
52,長野,筑北村,チクホクムラ
53,長野,青木村,アオキムラ
54,沖縄,伊江村,イエソン
55,熊本,相良村,サガラムラ
56,群馬,片品村,カタシナムラ
57,岩手,野田村,ノダムラ
58,山形,鮭川村,サケガワムラ
59,北海道,中札内村,ナカサツナイムラ
60,高知,芸西村,ゲイセイムラ
61,長野,下條村,シモジョウムラ
62,群馬,高山村,タカヤマムラ
63,鳥取,日吉津村,ヒエヅソン
64,群馬,川場村,カワバムラ
65,長野,大桑村,オオクワムラ
66,長野,野沢温泉村,ノザワオンセンムラ
67,長野,南牧村,ミナミマキムラ
68,熊本,山江村,ヤマエムラ
69,奈良,山添村,ヤマゾエムラ
70,富山,舟橋村,フナハシムラ
71,沖縄,大宜味村,オオギミソン
72,福島,湯川村,ユガワムラ
73,北海道,更別村,サラベツムラ
74,奈良,十津川村,トツカワムラ
75,岩手,田野畑村,タノハタムラ
76,福島,鮫川村,サメガワムラ
77,北海道,新篠津村,シンシノツムラ
78,神奈川,清川村,キヨカワムラ
79,山形,大蔵村,オオクラムラ
80,秋田,大潟村,オオガタムラ
81,東京,小笠原村,オガサワラムラ
82,山梨,鳴沢村,ナルサワムラ
83,福岡,赤村,アカムラ
84,埼玉,東秩父村,ヒガシチチブムラ
95,秋田,東成瀬村,ヒガシナルセムラ
86,長野,木祖村,キソムラ
87,長野,小谷村,オタリムラ
88,北海道,猿払村,サルフツムラ
89,長野,麻績村,オミムラ
90,北海道,鶴居村,ツルイムラ
91,福島,北塩原村,キタシオバラムラ
92,青森,蓬田村,ヨモギタムラ
93,宮崎,椎葉村,シイバソン
94,岩手,普代村,フダイムラ
95,東京,新島村,ニイジマムラ
96,熊本,球磨村,クマムラ
97,京都,南山城村,ミナミヤマシロムラ
98,東京,三宅村,ミヤケムラ
99,長野,小川村,オガワムラ
100,青森,新郷村,シンゴウムラ
101,秋田,上小阿仁村,カミコアニムラ
102,徳島,佐那河内村,サナゴウチソン
103,北海道,真狩村,マッカリムラ
104,福島,川内村,カワウチムラ
105,熊本,水上村,ミズカミムラ
106,岐阜,東白川村,ヒガシシラカワムラ
107,東京,檜原村,ヒノハラムラ
108,北海道,留寿都村,ルスツムラ
109,福岡,東峰村,トウホウムラ
110,東京,神津島村,コウヅシマムラ
111,青森,佐井村,サイムラ
112,大分,姫島村,ヒメシマムラ
113,長野,栄村,サカエムラ
114,長野,生坂村,イクサカムラ
115,青森,風間浦村,カザマウラムラ
116,鹿児島,宇検村,ウケンソン
117,群馬,南牧村,ナンモクムラ
118,山梨,道志村,ドウシムラ
119,沖縄,東村,ヒガシソン
120,北海道,泊村,トマリムラ
121,長野,泰阜村,ヤスオカムラ
122,岐阜,白川村,シラカワムラ
123,奈良,東吉野村,ヒガシヨシノムラ
124,宮崎,諸塚村,モロツカソン
125,奈良,御杖村,ミツエムラ
126,高知,三原村,ミハラムラ
127,岡山,西粟倉村,ニシアワクラソン
128,熊本,産山村,ウブヤマムラ
129,鹿児島,大和村,ヤマトソン
130,北海道,島牧村,シママキムラ
131,沖縄,伊是名村,イゼナソン
132,福島,飯舘村,イイタテムラ
133,北海道,占冠村,シムカップムラ
134,奈良,曽爾村,ソニムラ
135,沖縄,南大東村,ミナミダイトウソン
136,青森,西目屋村,ニシメヤムラ
137,福島,昭和村,ショウワムラ
138,長野,天龍村,テンリュウムラ
139,奈良,天川村,テンカワムラ
140,北海道,赤井川村,アカイガワムラ
141,奈良,川上村,カワカミムラ
142,高知,北川村,キタガワムラ
143,群馬,上野村,ウエノムラ
144,沖縄,伊平屋村,イヘヤソン
145,北海道,初山別村,ショサンベツムラ
146,沖縄,多良間村,タラマソン
147,北海道,西興部村,ニシオコッペムラ
148,長野,大鹿村,オオシカムラ
149,愛知,豊根村,トヨネムラ
150,宮崎,西米良村,ニシメラソン
151,長野,南相木村,ミナミアイキムラ
152,熊本,五木村,イツキムラ
153,沖縄,座間味村,ザマミソン
154,北海道,神恵内村,カモエナイムラ
155,長野,根羽村,ネバムラ
156,岡山,新庄村,シンジョウソン
157,奈良,下北山村,シモキタヤマムラ
158,長野,北相木村,キタアイキムラ
159,高知,馬路村,ウマジムラ
160,鹿児島,十島村,トシマムラ
161,沖縄,渡嘉敷村,トカシキソン
162,長野,王滝村,オウタキムラ
163,北海道,音威子村,
164,山梨,小菅村,コスゲムラ
165,沖縄,粟国村,アグニソン
166,島根,知夫村,チブムラ
167,奈良,黒滝村,クロタキムラ
168,沖縄,北大東村,キタダイトウソン
169,長野,売木村,ウルギムラ
170,山梨,丹波山村,タバヤマムラ
171,福島,檜枝岐村,ヒノエマタムラ
172,奈良,上北山村,カミキタヤマムラ
173,福島,葛尾村,カツラオムラ
174,鹿児島,三島村,ミシマムラ
175,和歌山,北山村,キタヤマムラ
176,長野,平谷村,ヒラヤムラ
177,高知,大川村,オオカワムラ
178,奈良,野迫川村,ノセガワムラ
179,新潟,粟島浦村,アワシマウラムラ
180,沖縄,渡名喜村,トナキソン
181,東京,利島村,トシマムラ
182,東京,御蔵島村,ミクラジマムラ
183,東京,青ヶ島村,アオガシマムラ
